m       s*     sc     sb    
65868   3.599  3.599  2.731  
65869   3.58   3.58   2.731  
65870   3.487  3.487  2.731  
65871   3.414  3.414  2.731  
65872   3.355  3.355  2.731  
65873   3.249  3.249  2.731  
65874   3.304  3.304  2.731  
65875   3.512  3.304  2.731  
65876   3.41   3.41   2.731  
65877   3.533  3.533  2.731  
65878   3.432  3.432  2.731  
65879   3.414  3.414  2.731  
65880   3.575  3.575  2.731  
65881   4.163  4.163  2.731  
65882   3.875  3.875  2.731  
65883   3.655  3.655  2.731  
65884   3.596  3.596  2.731  
65885   3.716  3.716  2.731  
65886   3.536  3.536  2.731  
65887   3.513  3.513  2.731  
65888   3.885  3.885  2.731  
65889   3.807  3.807  2.731  
65890   3.888  3.888  2.731  
65891   3.768  3.768  2.731  
65892   3.659  3.659  2.731  
65893   3.575  3.575  2.731  
65894   3.553  3.553  2.731  
65895   3.662  3.662  2.731  
65896   3.479  3.479  2.731  
65897   3.848  3.848  2.731  
65898   3.688  3.688  2.731  
65899   3.591  3.591  2.731  
65900   3.557  3.557  2.731  
65901   3.308  3.308  2.731  
65902   3.216  3.216  2.731  
65903   3.496  3.216  2.731  
65904   3.135  3.135  2.731  
65905   3.444  3.135  2.731  
65906   3.087  3.087  2.731  
65907   3.454  3.454  2.731  
65908   3.441  3.441  2.731  
65909   3.724  3.724  2.731  
65910   3.771  3.771  2.731  
65911   3.791  3.791  2.731  
65912   3.627  3.627  2.731  
65913   3.533  3.533  2.731  
65914   3.656  3.656  2.731  
65915   3.516  3.516  2.731  
65916   3.444  3.444  2.731  
65917   3.186  3.186  2.731  
65918   3.67   3.67   2.731  
65919   3.709  3.709  2.731  
65920   3.413  3.413  2.731  
65921   3.395  3.395  2.731  
65922   3.608  3.608  2.731  
65923   3.241  3.241  2.731  
65924   3.146  3.146  2.731  
65925   3.221  3.221  2.731  
65926   3.158  3.158  2.731  
65927   3.206  3.206  2.731  
65928   3.434  3.434  2.731  
65929   3.311  3.311  2.731  
65930   3.313  3.313  2.731  
65931   3.126  3.126  2.731  
65932   3.492  3.126  2.731  
65933   3.158  3.158  2.731  
65934   3.195  3.195  2.731  
65935   3.435  3.435  2.731  
65936   3.821  3.435  2.731  
65937   3.316  3.316  2.731  
65938   3.31   3.31   2.731  
65939   3.249  3.249  2.731  
65940   3.186  3.186  2.731  
65941   4.006  4.006  2.731  
65942   4.116  4.116  2.731  
65943   3.955  3.955  2.731  
65944   3.903  3.903  2.731  
65945   3.812  3.812  2.731  
65946   3.656  3.656  2.731  
65947   3.53   3.53   2.731  
65948   3.709  3.709  2.731  
65949   3.728  3.728  2.731  
65950   3.739  3.739  2.731  
65951   3.881  3.881  2.731  
65952   3.776  3.776  2.731  
65953   3.649  3.649  2.731  
65954   3.698  3.698  2.731  
65955   3.517  3.517  2.731  
65956   3.507  3.507  2.731  
65957   3.798  3.798  2.731  
65958   3.663  3.663  2.731  
65959   3.564  3.564  2.731  
65960   3.539  3.539  2.731  
65961   3.319  3.319  2.731  
65962   3.608  3.608  2.731  
65963   3.5    3.5    2.731  
65964   3.591  3.591  2.731  
65965   3.419  3.419  2.731  
65966   3.345  3.345  2.731  
65967   3.736  3.345  2.731  
65968   3.929  3.345  2.731  
65969   3.391  3.391  2.731  
65970   3.627  3.627  2.731  
65971   3.428  3.428  2.731  
65972   3.406  3.406  2.731  
65973   3.38   3.38   2.731  
65974   3.435  3.435  2.731  
65975   3.316  3.316  2.731  
65976   3.599  3.599  2.731  
65977   3.398  3.398  2.731  
65978   3.468  3.468  2.731  
65979   3.776  3.776  2.731  
65980   3.599  3.599  2.731  
65981   3.575  3.575  2.731  
65982   3.483  3.483  2.731  
65983   3.467  3.467  2.731  
65984   3.4    3.4    2.731  
65985   3.441  3.441  2.731  
65986   3.527  3.527  2.731  
65987   3.397  3.397  2.731  
65988   3.261  3.261  2.731  
65989   3.282  3.282  2.731  
65990   3.448  3.448  2.731  
65991   3.542  3.542  2.731  
65992   3.426  3.426  2.731  
65993   3.401  3.401  2.731  
65994   3.825  3.401  2.731  
65995   3.642  3.642  2.731  
65996   3.473  3.473  2.731  
65997   3.295  3.295  2.731  
65998   3.217  3.217  2.731  
65999   3.439  3.439  2.731  
66000   3.648  3.648  2.731  
