m       s*     sc     sb    
65199   3.542  2.731  2.731  
65200   3.061  2.731  2.731  
65201   3.197  2.731  2.731  
65202   3.655  2.731  2.731  
65203   3.23   2.731  2.731  
65204   3.214  2.731  2.731  
65205   2.947  2.731  2.731  
65206   3.213  2.731  2.731  
65207   3.542  2.731  2.731  
65208   3.497  2.731  2.731  
65209   3.336  2.731  2.731  
65210   3.515  2.731  2.731  
65211   3.949  2.731  2.731  
65212   3.379  2.731  2.731  
65213   3.061  2.731  2.731  
65214   3.358  2.731  2.731  
65215   3.503  2.731  2.731  
65216   2.967  2.731  2.731  
65217   3.655  2.731  2.731  
65218   4.02   2.731  2.731  
65219   3.026  2.731  2.731  
65220   3.2    2.731  2.731  
65221   3.655  2.731  2.731  
65222   3.503  2.731  2.731  
65223   3.336  2.731  2.731  
65224   2.967  2.731  2.731  
65225   3.655  2.731  2.731  
65226   3.026  2.731  2.731  
65227   3.542  2.731  2.731  
65228   3.379  2.731  2.731  
65229   3.197  2.731  2.731  
65230   3.23   2.731  2.731  
65231   3.515  2.731  2.731  
65232   3.061  2.731  2.731  
65233   3.2    2.731  2.731  
65234   3.949  2.731  2.731  
65235   3.497  2.731  2.731  
65236   3.214  2.731  2.731  
65237   2.947  2.731  2.731  
65238   3.213  2.731  2.731  
65239   3.358  2.731  2.731  
65240   4.02   2.731  2.731  
65241   2.947  2.731  2.731  
65242   3.503  2.731  2.731  
65243   3.497  2.731  2.731  
65244   2.967  2.731  2.731  
65245   3.379  2.731  2.731  
65246   3.515  2.731  2.731  
65247   3.197  2.731  2.731  
65248   3.358  2.731  2.731  
65249   3.213  2.731  2.731  
65250   3.061  2.731  2.731  
65251   3.026  2.731  2.731  
65252   3.336  2.731  2.731  
65253   3.655  2.731  2.731  
65254   3.655  2.731  2.731  
65255   3.542  2.731  2.731  
65256   3.949  2.731  2.731  
65257   3.23   2.731  2.731  
65258   3.2    2.731  2.731  
65259   3.214  2.731  2.731  
65260   4.02   2.731  2.731  
65261   3.214  2.731  2.731  
65262   3.213  2.731  2.731  
65263   3.358  2.731  2.731  
65264   2.947  2.731  2.731  
65265   3.379  2.731  2.731  
65266   4.02   2.731  2.731  
65267   3.197  2.731  2.731  
65268   3.503  2.731  2.731  
65269   3.515  2.731  2.731  
